Kefta hummus,Tahini,Kg,FALSE,"0,005","0,005","0,005","0,005"
Kefta hummus,Huile d'olive,Condiment,FALSE,0,0,0,0
Kefta hummus,Farine,Kg,FALSE,"0,125","0,125","0,125","0,125"
Kefta hummus,Yaourt,Kg,FALSE,"31,25","31,25","31,25","31,25"
Kefta hummus,Levure chimique,Condiment,FALSE,0,0,0,0
Kefta hummus,Levure boulangère,Kg,FALSE,"0,002","0,002","0,002","0,002"
Lasagne,Viande hachée,Kg,FALSE,0,0,0,0
Lasagne,Tomates pelées,Kg,FALSE,"0,08","0,08","0,1","0,1"
Lasagne,Carottes,Kg,FALSE,0,0,0,0
Lasagne,Oignons,Kg,FALSE,0,0,0,0
Lasagne,Ail,Condiment,FALSE,0,0,0,0
Lasagne,Thym,Condiment,FALSE,0,0,0,0
Lasagne,Laurier,Condiment,FALSE,0,0,0,0
Lasagne,Huile d'olive,Condiment,FALSE,0,0,0,0
Lasagne,Beurre,Kg,FALSE,"0,01","0,01","0,01","0,01"
Lasagne,Farine,Kg,FALSE,"0,01","0,01","0,01","0,01"
Lasagne,Lait,L,FALSE,"0,1","0,1","0,1","0,1"
Lasagne,Noix de muscade,Condiment,FALSE,0,0,0,0
Lasagne,Protéine de soja,Kg,TRUE,"0,3","0,3","0,5","0,4"
Lasagne,Pâtes à lasagne,Kg,FALSE,"0,08","0,07","0,1","0,09"
Lasagne (végé),Protéine de soja,Kg,FALSE,"0,3","0,3","0,5","0,4"
Lasagne (végé),Tomates pelées,Kg,FALSE,"0,08","0,08","0,1","0,1"
Lasagne (végé),Carottes,Kg,FALSE,0,0,0,0
Lasagne (végé),Oignons,Kg,FALSE,0,0,0,0
Lasagne (végé),Ail,Condiment,FALSE,0,0,0,0
Lasagne (végé),Thym,Condiment,FALSE,0,0,0,0
Lasagne (végé),Laurier,Condiment,FALSE,0,0,0,0
Lasagne (végé),Huile d'olive,Condiment,FALSE,0,0,0,0
